Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1397952k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.499: [GC (Allocation Failure) 0.499: [ParNew: 39154K->4329K(39296K), 0.0076932 secs] 339926K->317335K(353012K), 0.0077751 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
0.511: [GC (Allocation Failure) 0.511: [ParNew: 39273K->4349K(39296K), 0.0086413 secs] 352279K->330133K(365784K), 0.0087003 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.526: [GC (Allocation Failure) 0.526: [ParNew: 38843K->4351K(39296K), 0.0074930 secs] 364627K->339678K(375180K), 0.0075833 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.539: [GC (Allocation Failure) 0.539: [ParNew: 39290K->4338K(39296K), 0.0090365 secs] 374617K->352433K(387980K), 0.0091263 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.554: [GC (Allocation Failure) 0.554: [ParNew: 39274K->4350K(39296K), 0.0085031 secs] 387369K->364662K(400312K), 0.0086070 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.568: [GC (Allocation Failure) 0.568: [ParNew: 39074K->4351K(39296K), 0.0092617 secs] 399386K->377914K(413440K), 0.0093489 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.583: [GC (Allocation Failure) 0.583: [ParNew: 39037K->4348K(39296K), 0.0077556 secs] 412600K->388171K(423684K), 0.0078671 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.595: [GC (Allocation Failure) 0.595: [ParNew: 39292K->4350K(39296K), 0.0094116 secs] 423115K->400247K(435912K), 0.0095011 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.610: [GC (Allocation Failure) 0.610: [ParNew: 39294K->4351K(39296K), 0.0083065 secs] 435191K->411552K(447088K), 0.0083893 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.623: [GC (Allocation Failure) 0.623: [ParNew: 39295K->4351K(39296K), 0.0114999 secs] 446496K->425492K(461032K), 0.0115932 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.641: [GC (Allocation Failure) 0.641: [ParNew: 38945K->4348K(39296K), 0.0104175 secs] 460085K->440259K(475928K), 0.0105029 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
0.656: [GC (Allocation Failure) 0.656: [ParNew: 39292K->4346K(39296K), 0.0103771 secs] 475203K->455140K(490804K), 0.0104680 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
0.673: [GC (Allocation Failure) 0.673: [ParNew: 39092K->4346K(39296K), 0.0108461 secs] 489886K->468434K(504136K), 0.0109527 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.690: [GC (Allocation Failure) 0.690: [ParNew: 39281K->4351K(39296K), 0.0096554 secs] 503369K->479299K(514896K), 0.0097668 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.709: [GC (Allocation Failure) 0.709: [ParNew: 39218K->4349K(39296K), 0.0105386 secs] 514167K->492056K(527712K), 0.0106395 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.725: [GC (Allocation Failure) 0.725: [ParNew: 38750K->4350K(39296K), 0.0119176 secs] 526457K->508374K(543984K), 0.0119979 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
0.742: [GC (Allocation Failure) 0.742: [ParNew: 39294K->4343K(39296K), 0.0098436 secs] 543318K->522417K(557996K), 0.0099314 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.757: [GC (Allocation Failure) 0.757: [ParNew: 39059K->4330K(39296K), 0.0083395 secs] 557134K->533481K(569108K), 0.0083949 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.772: [GC (Allocation Failure) 0.772: [ParNew: 38976K->4349K(39296K), 0.0078523 secs] 568127K->545127K(580812K), 0.0079209 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.784: [GC (Allocation Failure) 0.784: [ParNew: 39293K->4346K(39296K), 0.0095559 secs] 580071K->559258K(594848K), 0.0096218 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.799: [GC (Allocation Failure) 0.799: [ParNew: 39290K->4337K(39296K), 0.0090251 secs] 594202K->570595K(606236K), 0.0091012 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.813: [GC (Allocation Failure) 0.813: [ParNew: 38589K->4339K(39296K), 0.0084606 secs] 604847K->583056K(618656K), 0.0085353 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.826: [GC (Allocation Failure) 0.826: [ParNew: 38874K->4350K(39296K), 0.0089058 secs] 617591K->594814K(630540K), 0.0089677 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.840: [GC (Allocation Failure) 0.840: [ParNew: 39172K->4351K(39296K), 0.0076101 secs] 629636K->605825K(641584K), 0.0076874 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.853: [GC (Allocation Failure) 0.853: [ParNew: 38838K->4347K(39296K), 0.0084313 secs] 640311K->619076K(654712K), 0.0084942 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.867: [GC (Allocation Failure) 0.867: [ParNew: 38800K->4338K(39296K), 0.0081392 secs] 653529K->630559K(666212K), 0.0082174 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
0.880: [GC (Allocation Failure) 0.880: [ParNew: 39001K->4336K(39296K), 0.0087345 secs] 665222K->643550K(679220K), 0.0087957 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.893: [GC (Allocation Failure) 0.893: [ParNew: 39158K->4319K(39296K), 0.0084201 secs] 678372K->656025K(691820K), 0.0084963 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.906: [GC (Allocation Failure) 0.906: [ParNew: 39054K->4349K(39296K), 0.0098467 secs] 690761K->669941K(705604K), 0.0099149 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
